coverage,risk
8.000000000000000167e-03,2.500000000000000000e-01
8.019999999999999352e-03,2.493765586034912829e-01
8.040000000000000271e-03,2.487562189054726425e-01
8.059999999999999457e-03,2.481389578163771814e-01
8.080000000000000376e-03,2.475247524752475226e-01
8.099999999999999561e-03,2.469135802469135665e-01
8.120000000000000481e-03,2.463054187192118272e-01
8.139999999999999666e-03,2.457002457002457063e-01
8.160000000000000586e-03,2.450980392156862642e-01
8.179999999999999771e-03,2.444987775061124580e-01
8.200000000000000691e-03,2.439024390243902385e-01
8.219999999999999876e-03,2.433090024330900325e-01
8.240000000000000796e-03,2.427184466019417508e-01
8.259999999999999981e-03,2.445520581113801439e-01
8.279999999999999166e-03,2.439613526570048319e-01
8.300000000000000086e-03,2.433734939759036042e-01
8.319999999999999271e-03,2.427884615384615363e-01
8.340000000000000191e-03,2.422062350119904006e-01
8.359999999999999376e-03,2.416267942583732176e-01
8.380000000000000296e-03,2.410501193317422519e-01
8.399999999999999481e-03,2.404761904761904823e-01
8.420000000000000401e-03,2.399049881235154336e-01
8.439999999999999586e-03,2.417061611374407559e-01
8.460000000000000506e-03,2.411347517730496326e-01
8.479999999999999691e-03,2.405660377358490587e-01
8.500000000000000611e-03,2.423529411764705765e-01
8.519999999999999796e-03,2.417840375586854385e-01
8.540000000000000716e-03,2.412177985948477654e-01
8.559999999999999901e-03,2.429906542056074759e-01
8.580000000000000820e-03,2.447552447552447663e-01
8.600000000000000006e-03,2.441860465116278966e-01
8.619999999999999191e-03,2.436194895591647369e-01
8.640000000000000110e-03,2.430555555555555525e-01
8.659999999999999296e-03,2.424942263279445676e-01
8.680000000000000215e-03,2.419354838709677491e-01
8.699999999999999400e-03,2.413793103448275967e-01
8.720000000000000320e-03,2.408256880733944949e-01
8.739999999999999505e-03,2.402745995423340997e-01
8.760000000000000425e-03,2.397260273972602607e-01
8.779999999999999610e-03,2.391799544419134504e-01
8.800000000000000530e-03,2.409090909090909061e-01
