coverage,risk
1.262626262626262734e-03,0.000000000000000000e+00
1.275778619528619576e-03,0.000000000000000000e+00
1.288930976430976419e-03,0.000000000000000000e+00
1.302083333333333261e-03,0.000000000000000000e+00
1.315235690235690320e-03,0.000000000000000000e+00
1.328388047138047163e-03,0.000000000000000000e+00
1.341540404040404005e-03,0.000000000000000000e+00
1.354692760942760848e-03,0.000000000000000000e+00
1.367845117845117907e-03,0.000000000000000000e+00
1.380997474747474750e-03,0.000000000000000000e+00
1.394149831649831592e-03,0.000000000000000000e+00
1.407302188552188651e-03,0.000000000000000000e+00
1.420454545454545494e-03,0.000000000000000000e+00
1.433606902356902336e-03,0.000000000000000000e+00
1.446759259259259179e-03,0.000000000000000000e+00
1.459911616161616238e-03,0.000000000000000000e+00
1.473063973063973081e-03,0.000000000000000000e+00
1.486216329966329923e-03,0.000000000000000000e+00
1.499368686868686766e-03,0.000000000000000000e+00
1.512521043771043825e-03,0.000000000000000000e+00
1.525673400673400668e-03,0.000000000000000000e+00
1.538825757575757510e-03,0.000000000000000000e+00
1.551978114478114569e-03,0.000000000000000000e+00
1.565130471380471412e-03,0.000000000000000000e+00
1.578282828282828254e-03,0.000000000000000000e+00
1.591435185185185097e-03,0.000000000000000000e+00
1.604587542087542156e-03,0.000000000000000000e+00
1.617739898989898999e-03,0.000000000000000000e+00
1.630892255892255841e-03,0.000000000000000000e+00
1.644044612794612900e-03,0.000000000000000000e+00
1.657196969696969743e-03,0.000000000000000000e+00
1.670349326599326585e-03,0.000000000000000000e+00
1.683501683501683428e-03,0.000000000000000000e+00
1.696654040404040487e-03,0.000000000000000000e+00
1.709806397306397330e-03,0.000000000000000000e+00
1.722958754208754172e-03,0.000000000000000000e+00
1.736111111111111015e-03,0.000000000000000000e+00
1.749263468013468074e-03,0.000000000000000000e+00
1.762415824915824917e-03,0.000000000000000000e+00
1.775568181818181759e-03,0.000000000000000000e+00
1.788720538720538818e-03,0.000000000000000000e+00
1.801872895622895661e-03,0.000000000000000000e+00
1.815025252525252503e-03,0.000000000000000000e+00
1.828177609427609346e-03,0.000000000000000000e+00
1.841329966329966405e-03,0.000000000000000000e+00
1.854482323232323248e-03,0.000000000000000000e+00
1.867634680134680090e-03,0.000000000000000000e+00
1.880787037037036933e-03,0.000000000000000000e+00
1.893939393939393992e-03,0.000000000000000000e+00
